Municipality,Gouvernerat,Population
Tunis,Gouvernorat de Tunis,638845
Sfax,Gouvernorat de Sfax,272801
Sousse,Gouvernorat de Sousse,221530
Kairouan,Gouvernorat de Kairouan,139070
Bizerte,Gouvernorat de Bizerte,136917
Gabès,Gouvernorat de Gabès,130984
La Soukra,Gouvernorat de l'Ariana,129693
Ariana,Gouvernorat de l'Ariana,114486
Sidi Hassine,Gouvernorat de Tunis,109690
El Mourouj,Gouvernorat de Ben Arous,104586
Gafsa,Gouvernorat de Gafsa,95242
Raoued,Gouvernorat de l'Ariana,94691
Monastir,Gouvernorat de Monastir,93306
La Marsa,Gouvernorat de Tunis,92987
Ben Arous,Gouvernorat de Ben Arous,88322
Kasserine,Gouvernorat de Kasserine,83534
Douar Hicher,Gouvernorat de la Manouba,82532
Djerba - Houmt Souk,Gouvernorat de Médenine,75904
Le Kram,Gouvernorat de Tunis,74132
Hammamet,Gouvernorat de Nabeul,73236
Zarzis,Gouvernorat de Médenine,72611
Le Bardo,Gouvernorat de Tunis,71961
Médenine,Gouvernorat de Médenine,71406
Nabeul,Gouvernorat de Nabeul,70437
Tataouine,Gouvernorat de Tataouine,66924
Ben Gardane,Gouvernorat de Médenine,66567
Djerba - Midoun,Gouvernorat de Médenine,63528
Béja,Gouvernorat de Béja,62303
M'saken,Gouvernorat de Sousse,60165
Radès,Gouvernorat de Ben Arous,59794
Oued Ellil,Gouvernorat de la Manouba,57851
Moknine,Gouvernorat de Monastir,57111
Le Kef,Gouvernorat du Kef,54690
Menzel Bourguiba,Gouvernorat de Bizerte,54536
Kalâa Kebira,Gouvernorat de Sousse,53323
Sakiet Ezzit,Gouvernorat de Sfax,53243
Mahdia,Gouvernorat de Mahdia,51833
Jemmal,Gouvernorat de Monastir,50275
Ksar Hellal,Gouvernorat de Monastir,49376
Sidi Bouzid,Gouvernorat de Sidi Bouzid,48284
Kélibia,Gouvernorat de Nabeul,46856
Sakiet Eddaïer,Gouvernorat de Sfax,45767
La Goulette,Gouvernorat de Tunis,45711
Jendouba,Gouvernorat de Jendouba,45431
El Aïn,Gouvernorat de Sfax,43337
Hammam Sousse,Gouvernorat de Sousse,42937
Hammam Lif,Gouvernorat de Ben Arous,42518
